Stock;Price;P/L;P/VP;PSR;D.Yield;P/Ativos;P/Cap. Giro;P/EBIT;P/ACL;EV/EBIT;EV/EBITDA;Marg. EBIT;Marg. Liq.;Liq. Corr.;ROIC;ROE;Liq. L2M;Pat. Liq.;Div. Brut./Pat. Liq.;CRL L5A
ATMP3;2.2;0.05;26.12;0.141;0;0.038;3.72;-0.32;-0.05;-1.77;-4.35;-0.447;25.868;1.05;-0.1259;478.425;237375;2250000;145.87;-0.1722
MNDL3;55.55;0.15;0.81;0.17;0;0.107;-0.83;1.47;-0.21;5.46;4.67;0.1162;11.286;0.73;0.0779;53.681;55037;170055000;2.24;0.1645
SLED4;1.68;0.23;-0.04;0.218;0;0.251;-0.1;-0.23;-0.04;-0.75;-0.92;-0.9381;0.9272;0.12;-225.994;-0.1807;421500;-381277000;-0.09;-0.4869
HOOT4;2.21;0.29;-0.19;0.317;0;0.08;-0.13;0.25;-0.06;0.19;0.18;12.635;1.092;0.13;0.335;-0.6602;14805.5;-212115000;0;-0.1795
BDLL4;10.09;0.29;-0.11;0.423;0;0.026;-2.16;-0.36;-0.03;-3.83;-4.05;-11.843;14.473;0.98;-0.0778;-0.3884;3497.44;-142292000;-1.28;0.1576
BDLL3;12.2;0.35;-0.14;0.511;0;0.031;-2.61;-0.43;-0.04;-3.9;-4.13;-11.843;14.473;0.98;-0.0778;-0.3884;28.37;-142292000;-1.28;-0.1795
MGEL4;16;0.42;2.88;0.097;0;0.118;0.77;1.16;-0.24;8.2;6.54;0.083;0.2318;1.49;0.1225;69.247;19926.3;32096000;20.14;0.2077
RNEW3;1.34;0.52;0.39;1.355;0;0.122;-1.06;-16.86;-0.19;-66.98;18.55;-0.0804;26.171;0.2;-0.0075;0.7553;278032;855087000;1.2;0.0018
RNEW11;4.05;0.52;0.39;1.365;0;0.123;-1.07;-16.98;-0.19;-67.11;18.59;-0.0804;26.171;0.2;-0.0075;0.7553;46163.3;855087000;1.2;0.0018
RNEW4;1.37;0.53;0.4;1.385;0;0.125;-1.08;-17.24;-0.19;-67.36;18.66;-0.0804;26.171;0.2;-0.0075;0.7553;177059;855087000;1.2;0.0018
SLED3;4;0.56;-0.1;0.519;0;0.599;-0.25;-0.55;-0.09;-1.07;-1.31;-0.9381;0.9272;0.12;-225.994;-0.1807;29231.6;-381277000;-0.09;0.1397
IGBR3;175.99;0.56;-0.34;30.247;0;1.035;-0.99;-3.7;-0.29;-7.85;-8.21;-81.712;537.932;0.33;-0.5799;-0.601;10393.3;-650957000;-0.54;-0.4869
MWET4;10;0.67;-1.72;0.071;0;0.074;-1.15;9.5;-0.11;42.62;14.21;0.0075;0.1062;0.86;0.0087;-25.712;26442.6;-11961000;-6.03;0.1701
MWET3;13.3;0.89;-2.29;0.095;0;0.099;-1.54;12.64;-0.15;45.75;15.26;0.0075;0.1062;0.86;0.0087;-25.712;92.7;-11961000;-6.03;0.1701
AHEB5;16.59;1.89;16.53;0.301;0;0.386;2.89;1.44;-0.7;1.11;1.04;0.2087;0.1593;1.46;0.3341;87.355;345.65;8577000;0.51;0.4978
AHEB6;17.01;1.94;16.94;0.309;0;0.395;2.96;1.48;-0.71;1.15;1.07;0.2087;0.1593;1.46;0.3341;87.355;125.61;8577000;0.51;0.4978
HAGA4;1.32;2.06;-0.28;0.531;0;0.266;0.65;-19.78;-0.24;3.48;-5.27;-0.0268;0.2582;1.93;-0.0426;-0.1378;42461.5;-55453600;-0.37;0.0874
AHEB3;18.95;2.16;18.88;0.344;0;0.441;3.3;1.65;-0.8;1.32;1.23;0.2087;0.1593;1.46;0.3341;87.355;95.44;8577000;0.51;0.4978
LUPA3;2.46;2.17;0.54;0.884;0;0.171;2.28;-4.87;-0.45;-13.34;-33.78;-0.1816;0.4069;1.33;-0.0367;0.2486;1709660;156906000;0.96;-0.0816
CTKA4;11.25;2.45;-0.52;0.109;0;0.115;0.4;1.29;-0.21;10.19;7.74;0.0844;0.0446;1.75;0.11;-0.213;7578.6;-133688000;-4.01;0.2129
PETR4;33.53;2.8;1.18;0.752;0.2759;0.442;-29.59;1.67;-0.91;2.51;1.95;0.4497;0.2699;0.9;0.2895;0.4219;1585550000;3.71E+16;0.75;0.1942
CEDO4;13.76;2.87;0.91;0.113;0;0.164;4.75;0.81;-0.6;2.18;1.92;0.1393;0.033;1.07;0.2327;0.3183;190696;150812000;1.64;0.2525
SUZB3;50.27;2.87;1.56;1.358;0.0367;0.481;2.87;3.47;-1.16;6.32;4.56;0.3918;0.474;2.56;0.1712;0.545;199968000;42587500000;1.75;13.709
CALI3;14.1;2.88;1.73;0.318;0.0317;0.256;1.88;2.84;-0.47;5.53;5.42;0.112;0.1105;1.82;0.0993;0.5997;906.77;30381000;2.04;0
BRAP3;20.88;2.98;1.08;0;0.1276;1.074;40.15;-404.47;40.25;-391.69;-391.69;0;0;4.7;-0.0027;0.3631;1260670;7585760000;0;0.1942
PETR3;36.86;3.07;1.3;0.827;0.251;0.485;-32.53;1.84;-1;2.67;2.08;0.4497;0.2699;0.9;0.2895;0.4219;462213000;3.71E+16;0.75;0
BRAP4;22.6;3.23;1.17;0;0.1296;1.163;43.45;-437.79;43.57;-425.01;-425.01;0;0;4.7;-0.0027;0.3631;67545900;7585760000;0;0.2046
BNBR3;89.5;3.46;0.78;0;0.0693;0;0;0;0;0;0;0;0;0;0;0.2264;7405.05;9862320000;0;0.2086
BAZA3;78.35;3.52;0.8;0;0.0707;0;0;0;0;0;0;0;0;0;0;0.2287;320513;5462610000;0;0.2994
CLSC3;60.41;3.8;0.73;0.227;0.047;0.198;-10.41;3.2;-0.5;5.18;3.68;0.0711;0.0598;0.95;0.074;0.1914;8435.77;3201190000;0.77;0.2046
GOAU3;11.85;3.83;0.7;0.161;0.0979;0.164;0.58;1;1.84;1.45;1.16;0.1611;0.1261;3.03;0.1935;0.1839;588964;17401700000;0.61;0.2138
GOAU4;11.88;3.84;0.71;0.161;0.0976;0.164;0.59;1;1.84;1.45;1.17;0.1611;0.1261;3.03;0.1935;0.1839;75370700;17401700000;0.61;0.2138
CEDO3;18.45;3.84;1.22;0.151;0;0.22;6.37;1.09;-0.81;2.45;2.17;0.1393;0.033;1.07;0.2327;0.3183;61503.4;150812000;1.64;0.4914
HBTS5;51;3.89;0.81;4.622;0.0469;0.323;-9.11;20.27;-0.67;27.05;25.37;0.228;11.883;0.77;0.0171;0.2089;10192;573238000;0.43;0.0915
CLSC4;64.5;4.06;0.78;0.243;0.0484;0.211;-11.11;3.42;-0.53;5.39;3.84;0.0711;0.0598;0.95;0.074;0.1914;409360;3201190000;0.77;0.0915
BBAS3;47.26;4.09;0.86;0;0.0971;0;0;0;0;0;0;0;0;0;0;0.2105;418309000;1.57E+14;0;0.2097
CMIG4;12.51;4.16;1.17;0.768;0.0903;0.505;8.07;3.49;-1.58;4.51;3.91;0.2202;0.1849;1.34;0.1635;0.2807;99925700;23609100000;0.5;0.118
EPAR3;14.3;4.28;1.57;0.192;0.0869;0.856;2.36;3.2;3.76;3.28;3.1;0.0602;0.045;2.13;0.3601;0.3676;30588.6;135207000;0.31;0.1645
ALSO3;23.95;4.29;0.94;7.402;0.0217;0.487;10.39;16.06;-1.44;14.07;9.14;0.4608;17.735;1.87;0.0324;0.2184;110909000;14673500000;0;0.3808
JALL3;9.15;4.34;1.36;1.577;0.0484;0.428;2.06;14.64;-1.25;28.71;6.36;0.1078;0.3637;2.53;0.0348;0.313;9000110;1986740000;1.74;0.315
HAGA3;2.79;4.35;-0.6;1.122;0;0.562;1.38;-41.8;-0.52;-18.55;28.13;-0.0268;0.2582;1.93;-0.0426;-0.1378;38029;-55453600;-0.37;0.2138
GGBR3;23.72;4.36;0.85;0.547;0.1364;0.565;2.08;3.39;7.34;3.92;3.15;0.1613;0.1259;2.94;0.1939;0.1952;1130150;48976900000;0.22;0.0874
AURE3;13.94;4.5;0.94;2.373;0.1076;0.422;2.87;16.72;-1.54;17.25;10.16;0.1419;0.527;2.12;0.0321;0.2094;34755100;14786000000;0.45;0.4752
PLAS3;8;4.58;-0.3;0.109;0;0.151;-0.41;-4.69;-0.12;-18.18;12.11;-0.0233;0.0239;0.43;-0.0374;-0.0664;1250.09;-326607000;-0.9;0.2876
EUCA4;13.1;4.68;0.57;0.459;0.0603;0.31;2.24;3.07;-3.57;4.46;2.84;0.1496;0.0982;1.61;0.1116;0.1213;440133;2138630000;0.32;0.2138
GGBR4;25.73;4.73;0.92;0.593;0.1257;0.613;2.26;3.68;7.96;4.21;3.38;0.1613;0.1259;2.94;0.1939;0.1952;269784000;48976900000;0.22;0.1975
TECN3;3.27;4.79;0.63;0.673;0.0264;0.363;0.73;3.68;1.66;3.64;4.39;0.183;0.1404;4.32;0.1281;0.1316;693941;367561000;0.3;0.0563
MTSA4;51.8;4.82;1.09;0.627;0.0626;0.831;1.49;4.07;1.55;3.23;2.94;0.1541;0.1302;3.6;0.2888;0.2264;109885;417587000;0.09;0.316
CIEL3;3.67;4.85;0.85;1.515;0.079;0.104;0.75;6.4;3.16;10.54;8.03;0.2366;0.3127;1.19;0.0523;0.1759;146671000;11697500000;0.63;-0.1012
SAPR3;4.47;4.94;0.74;1.145;0.076;0.382;8.14;2.74;-1.13;4.55;3.84;0.4183;0.2319;1.47;0.152;0.1503;1087730;9100570000;0.62;0.0745
BMKS3;300;5.08;0.69;7.818;0.1926;0.595;0.81;-20.9;0.94;2.56;2.6;-0.3742;15.394;25.52;-0.095;0.1356;32420.6;198040000;0.03;0.1791
BMEB4;13.4;5.13;1.02;0;0.0807;0;0;0;0;0;0;0;0;0;0;0.198;309050;1382020000;0;0.0169
NEOE3;18.5;5.13;0.81;0.503;0.0625;0.232;9.23;2.28;-0.54;6.04;4.84;0.221;0.0995;1.1;0.1136;0.1572;27232900;27832000000;1.56;0.1206
CGRA3;25.8;5.19;0.59;0.754;0.1037;0.416;1.66;5.44;2.9;4.27;3.29;0.1386;0.1453;2.32;0.0931;0.1141;425266;845384000;0;0.1524
CEBR3;13.62;5.21;0.98;3.457;0.1095;0.697;1.62;13.8;1.71;5.02;4.47;0.2506;0.8067;5.72;0.092;0.1878;76351.1;1003460000;0;-0.4719
SAPR11;23.65;5.23;0.79;1.212;0.0775;0.404;8.61;2.9;-1.19;4.71;3.97;0.4183;0.2319;1.47;0.152;0.1503;18067400;9100570000;0.62;0.0745
CEBR5;13.7;5.24;0.98;3.477;0.1089;0.701;1.63;13.88;1.72;5.1;4.54;0.2506;0.8067;5.72;0.092;0.1878;34641.5;1003460000;0;0.0745
SAPR4;4.75;5.25;0.79;1.217;0.0786;0.405;8.65;2.91;-1.2;4.72;3.98;0.4183;0.2319;1.47;0.152;0.1503;7689300;9100570000;0.62;-0.4719
ROMI3;13.29;5.35;1.07;0.785;0.0687;0.518;1.48;5.11;4.83;7.4;5.99;0.1536;0.1472;2.31;0.1221;0.1989;8527840;1107180000;0.74;0.1303
POSI3;8.05;5.36;0.82;0.301;0.0639;0.297;0.72;3.04;1.8;5.4;4.75;0.0991;0.0574;2.07;0.1286;0.1532;12677100;1389550000;0.95;0.2513
VALE3;67.62;5.39;1.64;1.487;0.0599;0.696;31.99;3.94;-1.78;4.49;3.72;0.3778;0.278;1.15;0.1992;0.3045;1765840000;1.87E+16;0.36;0.1728
ABCB4;19.33;5.41;0.81;0;0.0811;0;0;0;0;0;0;0;0;0;0;0.1489;15179700;5420810000;0;0.218
CGRA4;26.95;5.42;0.62;0.788;0.0993;0.435;1.74;5.68;3.03;4.52;3.48;0.1386;0.1453;2.32;0.0931;0.1141;322532;845384000;0;0.1206
CAMB3;10;5.56;2.08;0.863;0.025;1.128;4.48;3.68;34.48;4.21;3.82;0.2344;0.1555;2.05;0.3312;0.3748;840615;203028000;0.33;0.2425
MOAR3;380;5.62;2.99;0;0.0451;1.566;5.35;-158.01;-23.65;-149.57;-151;0;0;3.5;-0.016;0.5322;74780.5;1555850000;0.56;0.1926
KLBN11;22.74;5.63;2.17;1.297;0.0615;0.519;4.76;4.01;-1.09;7.07;4.76;0.3236;0.2694;1.86;0.1576;0.3854;96318100;11784300000;2.17;-0.5147
KLBN3;4.55;5.63;2.17;1.298;0.0615;0.519;4.76;4.01;-1.09;7.07;4.76;0.3236;0.2694;1.86;0.1576;0.3854;1745020;11784300000;2.17;0.1926
KLBN4;4.55;5.63;2.17;1.298;0.0615;0.519;4.76;4.01;-1.09;7.07;4.76;0.3236;0.2694;1.86;0.1576;0.3854;9975750;11784300000;2.17;0.1926
EQMA3B;28.29;5.69;1.23;0.889;0.0986;0.533;7.59;3.79;-1.99;5.11;4.29;0.2346;0.1562;1.31;0.1696;0.2156;39861;3783950000;0.69;0.1066
MTRE3;5.26;5.7;0.54;0.69;0.1748;0.257;0.5;12.91;0.9;22.27;19.58;0.0535;0.1217;2.85;0.0222;0.0949;6641620;1028210000;0.57;0.1975
EUCA3;16.06;5.74;0.7;0.563;0.0447;0.38;2.75;3.76;-4.37;5.16;3.29;0.1496;0.0982;1.61;0.1116;0.1213;27983.7;2138630000;0.32;0.3736
CEBR6;15.15;5.8;1.09;3.845;0.1083;0.775;1.8;15.35;1.9;6.57;5.85;0.2506;0.8067;5.72;0.092;0.1878;142839;1003460000;0;-0.4719
RANI3;11.75;5.87;2.26;1.753;0.0751;0.766;3.27;5.38;-2.66;7.22;6.04;0.3257;0.2987;2.7;0.1949;0.3849;9587740;1281240000;1.44;0.2955
MEAL3;1.97;5.88;0.52;0.249;0;0.216;-4.21;-7.35;-0.51;-11.95;5.53;-0.0339;0.0423;0.77;-0.0335;0.089;3190620;1077960000;0.48;0.1269
RSUL4;64;5.96;2.41;1.02;0.0445;1.135;4.02;3.76;-568.99;3.38;3.18;0.2718;0.1712;2.16;0.3712;0.4034;248260;161582000;0.05;0.1854
DEXP4;9.81;6.22;1.42;0.501;0.0278;0.665;1.54;4.71;3.25;4.42;3.87;0.1064;0.0976;3.06;0.2071;0.2278;44641.4;650596000;0.47;0.2321
EALT3;8.7;6.25;0.88;0.417;0.0395;0.371;-232.76;4.23;-1.67;6.4;4.51;0.0986;0.0667;1;0.0952;0.1412;2451.95;221860000;0.49;0.3094
BOBR4;1.87;6.26;-4.16;0.327;0;0.573;-3.93;2.38;-0.86;4.19;3.67;0.1377;0.0523;0.76;0.3176;-0.6643;146082;-117170000;-3.58;0.0823
CSRN3;24.1;6.34;2.66;1.12;0.1238;0.716;-15.29;4.21;-1.51;6.43;5.5;0.2658;0.1768;0.84;0.1921;0.4193;16806;1524000000;1.66;0.1634
EALT4;8.85;6.36;0.9;0.424;0.0427;0.378;-236.77;4.3;-1.69;6.48;4.56;0.0986;0.0667;1;0.0952;0.1412;86413.2;221860000;0.49;0.1634
BGIP4;23.5;6.44;0.66;0;0.1453;0;0;0;0;0;0;0;0;0;0;0.1032;36240.2;597592000;0;0.2521
CSMG3;18.38;6.46;0.92;1.037;0.081;0.517;17.73;4.48;-1.99;6.55;4.4;0.2314;0.1606;1.19;0.1255;0.1428;38232300;7581400000;0.53;0.1065
FESA4;49.9;6.46;1.37;1.559;0.0656;1.067;3.27;5.79;5.13;4.85;3.86;0.2693;0.2415;4.2;0.2557;0.2119;10093600;3220380000;0.1;0.5251
RECV3;22.06;6.48;1.5;2.186;0.048;0.956;-45.53;5.94;-5.4;5.77;4.1;0.3682;0.3372;0.9;0.1943;0.2312;67070300;4314600000;0.14;0.0816
CMIG3;19.56;6.5;1.82;1.2;0.0577;0.789;12.62;5.45;-2.48;6.48;5.61;0.2202;0.1849;1.34;0.1635;0.2807;6178850;23609100000;0.5;0.118
TASA3;15.95;6.55;1.91;0.935;0.0875;0.985;4.71;4.79;9.16;5.37;4.98;0.1951;0.1427;1.55;0.2433;0.2914;305517;1058530000;0.43;0.005
TASA4;16.02;6.58;1.92;0.939;0.0871;0.989;4.73;4.81;9.2;5.39;5;0.1951;0.1427;1.55;0.2433;0.2914;8837790;1058530000;0.43;0.1241
TKNO4;64.98;6.58;0.7;0.693;0.0708;0.572;1.48;7.12;1.65;6.02;4.91;0.0974;0.1054;3.65;0.0971;0.1069;2304.51;272425000;0.01;0.2951
PINE4;3.81;6.66;0.76;0;0.0426;0;0;0;0;0;0;0;0;0;0;0.1137;2296310;938357000;0;0.285
TRPL4;24.15;6.72;0.91;2.909;0.044;0.466;6.26;5.29;-1.45;7.74;7.67;0.5502;0.4428;1.93;0.0925;0.1353;42255400;17506600000;0.5;0.0751
RAPT3;9.75;6.75;1.09;0.283;0.0525;0.256;0.82;2.16;-2.72;4.34;3.68;0.1309;0.0628;2.17;0.1557;0.1622;189199;2934230000;1.8;0.157
SOND6;45;6.75;1.99;0.675;0.1354;1.197;3.24;2.84;4.67;2;1.88;0.238;0.1001;2.29;0.664;0.2945;951.42;55632000;0;0.1205
ITSA4;9.27;6.78;1.17;11.519;0.062;0.879;20.57;81.46;-10.7;85.99;45.23;0.1414;1.755;1.49;0.0118;0.1726;231211000;76867000000;0.16;0.2951
CEEB3;41;6.79;1.7;0.746;0.1108;0.405;-8.93;3.07;-0.73;6.65;5.37;0.243;0.1098;0.82;0.1413;0.251;44564.3;6303000000;2.09;0.1791
BRSR6;12.67;6.8;0.55;0;0.0608;0;0;0;0;0;0;0;0;0;0;0.0809;20009800;9421780000;0;0.3462
ITSA3;9.36;6.84;1.18;11.631;0.0614;0.887;20.77;82.25;-10.8;86.78;45.64;0.1414;1.755;1.49;0.0118;0.1726;1557360;76867000000;0.16;13.374
POMO3;5.03;6.84;1.47;0.753;0.0604;0.654;2.13;7.03;21.99;8.61;7.18;0.1071;0.1089;2.13;0.1253;0.2141;2064300;3250220000;0.74;0.157
KEPL3;12.05;6.91;3.24;1.335;0.0944;1.775;5.79;5.66;9.6;5.37;4.96;0.2358;0.1931;1.93;0.4361;0.4685;15925900;668654000;0.23;0.2974
BMEB3;18.05;6.92;1.37;0;0.0545;0;0;0;0;0;0;0;0;0;0;0.198;4911.6;1382020000;0;0.0505
COCE5;43;6.97;0.82;0.381;0.0197;0.251;-1.95;2.7;-0.56;6.9;5.01;0.1411;0.0546;0.66;0.1103;0.1172;2505660;4095830000;1.46;-0.1093
BRSR3;13;6.97;0.56;0;0.0592;0;0;0;0;0;0;0;0;0;0;0.0809;76896.1;9421780000;0;-0.3934
JSLG3;8.92;7.03;1.55;0.382;0.0265;0.263;3.18;3.04;-0.46;8.95;6.18;0.1258;0.0543;1.48;0.0975;0.2207;2150510;1646050000;3.49;-0.0009
GEPA3;25.52;7.11;1.17;1.693;0.1258;0.661;-4.54;4.17;-2.23;5.18;3.93;0.4064;0.2381;0.48;0.2002;0.1642;3021.05;2064290000;0.44;0.005
BGIP3;26;7.13;0.74;0;0.1194;0;0;0;0;0;0;0;0;0;0;0.1032;22429.5;597592000;0;0.1614
MDNE3;10.81;7.2;0.73;0.932;0;0.298;1.25;6.01;-1.36;5.53;5.33;0.1551;0.1285;2.76;0.0557;0.1014;3986350;1257040000;0.15;0.3791
GEPA4;25.92;7.22;1.19;1.72;0.1239;0.672;-4.61;4.23;-2.26;5.25;3.98;0.4064;0.2381;0.48;0.2002;0.1642;13294.2;2064290000;0.44;0.0505
CPFE3;34.67;7.23;2.24;0.999;0.0832;0.551;-25.11;3.77;-1.09;5.6;4.76;0.2649;0.1424;0.91;0.1648;0.31;53141000;17831400000;1.38;-0.0009
ITUB3;23.35;7.24;1.34;0;0.0525;0;0;0;0;0;0;0;0;0;0;0.1852;17450300;1.71E+16;0;13.374
PINE3;4.15;7.25;0.82;0;0;0;0;0;0;0;0;0;0;0;0;0.1137;13.14;938357000;0;0.1065
CSRN6;27.6;7.26;3.04;1.283;0.1189;0.82;-17.51;4.83;-1.72;7.05;6.02;0.2658;0.1768;0.84;0.1921;0.4193;570.77;1524000000;1.66;0.1009
DEXP3;11.5;7.3;1.66;0.588;0.0233;0.779;1.8;5.52;3.81;5.23;4.58;0.1064;0.0976;3.06;0.2071;0.2278;762516;650596000;0.47;0.3094
FIEI3;15;7.33;0.41;13.979;0;0.347;5.19;-3.92;-5.91;-3.49;-3.55;-35.664;18.907;3.03;-0.0944;0.0563;1559.09;88102000;0;0.1243
WLMM3;23.11;7.42;1.29;0.379;0.0432;0.891;2.42;6.29;2.88;6.27;6.08;0.0603;0.0511;2.48;0.1763;0.1735;6314.81;653320000;0.24;0.274
ETER3;9.46;7.48;0.84;0.49;0.0411;0.481;1.59;5.66;5.04;6.39;4.91;0.0867;0.0656;2.36;0.0947;0.1126;2421420;694083000;0.18;0.2974
SOND5;50;7.5;2.21;0.75;0.1219;1.33;3.6;3.15;5.19;2.32;2.18;0.238;0.1001;2.29;0.664;0.2945;318.61;55632000;0;0.1065
